id,name,address,query,query_variant,attempted_queries,matched_query,source,candidate_title,candidate_address,candidate_phone,candidate_homepage_url,candidate_price_text,candidate_price_min,candidate_price_max,candidate_price_type,candidate_difficulty,candidate_difficulty_text,candidate_avg_score,candidate_reservation_prices_text,candidate_confidence,needs_review,reason,source_url,collected_at
gc-a80360466b97,1·2·3 골프장,경기도 고양시 덕양구 통일로 43-168,1·2·3 골프장,original,1·2·3 골프장 | 1·2·3 | 1·2·3 골프장 네이버 | 1·2·3 골프장 그린피 | 1·2·3 골프장 네이버 예약 | 1·2·3 골프장 고양시,1·2·3 골프장,naver_scrape,1·2·3 골프장,,031-681-9992,,,,,unknown,,,,,medium,true,"이름 유사·phone/homepage/price 후보 있음, 주소 확인 약함; phone candidates: 2; homepage not found; naver reservation price not found; naver reservation price not found — price fields left empty",https://search.naver.com/search.naver?where=nexearch&query=1%C2%B72%C2%B73%20%EA%B3%A8%ED%94%84%EC%9E%A5,2026-06-19T07:40:10.635Z
gc-8fbc2ee961a0,고양컨트리클럽,경기도 고양시 덕양구 흥도로 304-23,고양컨트리클럽,original,고양컨트리클럽 | 고양CC | 고양C.C | 고양컨트리클럽 네이버 | 고양컨트리클럽 그린피 | 고양컨트리클럽 네이버 예약 | 고양컨트리클럽 고양시,고양컨트리클럽,naver_scrape,고양컨트리클럽,경기도 고양시 덕양구 흥도로 304-23 (도내동),031-960-7700,,,,,unknown,,,,,high,true,"골프장명·주소(시/군/구) 일치, phone/homepage/price 후보 수집; phone candidates: 2; homepage not found; naver reservation price not found; naver reservation price not found — price fields left empty",https://search.naver.com/search.naver?where=nexearch&query=%EA%B3%A0%EC%96%91%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,2026-06-19T07:40:04.962Z
gc-254a1c054bbe,골드컨트리클럽,경기도 용인시 기흥구 기흥단지로 398,골드컨트리클럽,original,골드컨트리클럽 | 골드CC | 골드C.C | 골드컨트리클럽 네이버 | 골드컨트리클럽 그린피 | 골드컨트리클럽 네이버 예약 | 골드컨트리클럽 용인시,골드컨트리클럽,naver_scrape,골드CC,경기 용인시 기흥구 기흥단지로 398,031-286-8111,http://www.gakorea.com/,"네이버 예약: 200,000원; 220,000원; 290,000원",200000,290000,reservation_price,4.1,4.1/10,91,"네이버 예약: 200,000원; 220,000원; 290,000원",high,true,"골프장명·주소(시/군/구) 일치, phone/homepage/price 후보 수집; phone candidates: 4; homepage ambiguous; reservation prices: 3; difficulty: 4.1/10",https://search.naver.com/search.naver?where=nexearch&query=%EA%B3%A8%EB%93%9C%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,2026-06-19T07:37:17.111Z
gc-66517960c8f8,광릉CC(비회원제),경기도 남양주시 진접읍 팔야로 280,광릉CC(비회원제),original,광릉CC(비회원제) | 광릉CC(비회원제) 네이버 | 광릉CC(비회원제) 그린피 | 광릉CC(비회원제) 네이버 예약 | 광릉CC(비회원제) 남양주시,광릉CC(비회원제),naver_scrape,광릉CC(비회원),"남양주시 진접읍 팔야로 280 031-528-7001 (월~일) 07:00~19:00 휴무일 : X ㅇ시설유형 : 골프장업 ㅇ부지면적(㎡) : 139,847 ㅇ총면적(㎡) : 139,847 ㅇ이용요금 : 주말4500",031-528-7001,,,,,unknown,,,,,high,true,"골프장명·주소(시/군/구) 일치, phone/homepage/price 후보 수집; homepage not found; naver reservation price not found; naver reservation price not found — price fields left empty",https://search.naver.com/search.naver?where=nexearch&query=%EA%B4%91%EB%A6%89CC(%EB%B9%84%ED%9A%8C%EC%9B%90%EC%A0%9C),2026-06-19T07:41:38.180Z
gc-73a2a3982c35,광릉CC(회원제),경기도 남양주시 진접읍 팔야로 280,광릉CC(회원제),original,광릉CC(회원제) | 광릉CC | 광릉CC 네이버 | 광릉CC 그린피 | 광릉CC 네이버 예약 | 광릉CC 남양주시,광릉CC(회원제),naver_scrape,광릉CC(회원제),,031-528-7001,,,,,unknown,,,,,medium,true,"이름 유사·phone/homepage/price 후보 있음, 주소 확인 약함; homepage not found; naver reservation price not found; naver reservation price not found — price fields left empty",https://search.naver.com/search.naver?where=nexearch&query=%EA%B4%91%EB%A6%89CC(%ED%9A%8C%EC%9B%90%EC%A0%9C),2026-06-19T07:41:32.747Z
gc-0f218a599984,국가보훈부 88골프장,경기도 용인시 기흥구 석성로 521번길 169,국가보훈부 88골프장 네이버,naver,국가보훈부 88골프장 | 국가보훈부 88 | 국가보훈부 88골프장 네이버 | 국가보훈부 88골프장 그린피 | 국가보훈부 88골프장 네이버 예약 | 국가보훈부 88골프장 용인시,국가보훈부 88골프장 네이버,naver_scrape,open-maru.com›업체›국가보훈부88골프장,경기도 용인시 기흥구 석성로521번길 169,1811-1360,,,,,unknown,,,,,high,true,"골프장명·주소(시/군/구) 일치, phone/homepage/price 후보 수집; homepage not found; naver reservation price not found; naver reservation price not found — price fields left empty",https://search.naver.com/search.naver?where=nexearch&query=%EA%B5%AD%EA%B0%80%EB%B3%B4%ED%9B%88%EB%B6%80%2088%EA%B3%A8%ED%94%84%EC%9E%A5%20%EB%84%A4%EC%9D%B4%EB%B2%84,2026-06-19T07:37:23.251Z
gc-748b687096d1,글렌로스 골프클럽,경기도 용인시 처인구 포곡읍 에버랜드로 562번길 69,글렌로스 골프클럽,original,글렌로스 골프클럽 | 글렌로스 GC | 글렌로스 G.C | 글렌로스 | 글렌로스 골프클럽 네이버 | 글렌로스 골프클럽 그린피 | 글렌로스 골프클럽 네이버 예약 | 글렌로스 골프클럽 용인시,글렌로스 골프클럽,naver_scrape,글렌로스골프클럽,경기 용인시 처인구 포곡읍 에버랜드로562번길 69 글렌로스골프클럽,031-320-9601,https://www.benestgolf.com,"네이버 예약: 290,000원",290000,290000,reservation_price,2.2,2.2/10,89,"네이버 예약: 290,000원",high,true,"골프장명·주소(시/군/구) 일치, phone/homepage/price 후보 수집; homepage ambiguous; reservation prices: 1; difficulty: 2.2/10",https://search.naver.com/search.naver?where=nexearch&query=%EA%B8%80%EB%A0%8C%EB%A1%9C%EC%8A%A4%20%EA%B3%A8%ED%94%84%ED%81%B4%EB%9F%BD,2026-06-19T07:39:01.934Z
gc-7701abd77260,기흥컨트리클럽,경기도 화성시 풀무골로106번길 244,기흥컨트리클럽,original,기흥컨트리클럽 | 기흥CC | 기흥C.C | 기흥컨트리클럽 네이버 | 기흥컨트리클럽 그린피 | 기흥컨트리클럽 네이버 예약 | 기흥컨트리클럽 화성시,기흥컨트리클럽,naver_scrape,기흥CC,경기 화성시 풀무골로106번길 244,031-376-4001,http://www.ghcc.kr/,,,,unknown,1.7,1.7/10,89,,high,true,"골프장명·주소(시/군/구) 일치, phone/homepage/price 후보 수집; phone candidates: 2; homepage ambiguous; naver reservation price not found; difficulty: 1.7/10; naver reservation price not found — price fields left empty",https://search.naver.com/search.naver?where=nexearch&query=%EA%B8%B0%ED%9D%A5%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,2026-06-19T07:40:47.113Z
gc-1475a1d902d7,남부컨트리클럽,경기도 용인시 기흥구 사은로 163,남부컨트리클럽,original,남부컨트리클럽 | 남부CC | 남부C.C | 남부컨트리클럽 네이버 | 남부컨트리클럽 그린피 | 남부컨트리클럽 네이버 예약 | 남부컨트리클럽 용인시,남부컨트리클럽,naver_scrape,남부CC,경기 용인시 기흥구 사은로 163,031-280-4100,http://www.namboocc.co.kr/,,,,unknown,,,,,high,true,"골프장명·주소(시/군/구) 일치, phone/homepage/price 후보 수집; homepage ambiguous; naver reservation price not found; naver reservation price not found — price fields left empty",https://search.naver.com/search.naver?where=nexearch&query=%EB%82%A8%EB%B6%80%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,2026-06-19T07:37:50.588Z
gc-210de13c89f8,남서울컨트리클럽,경기도 성남시 분당구 판교백현로 161,남서울컨트리클럽,original,남서울컨트리클럽 | 남서울CC | 남서울C.C | 남서울컨트리클럽 네이버 | 남서울컨트리클럽 그린피 | 남서울컨트리클럽 네이버 예약 | 남서울컨트리클럽 성남시,남서울컨트리클럽,naver_scrape,남서울CC,경기 성남시 분당구 판교백현로 161,031-709-6000,http://www.nscc.co.kr/,,,,unknown,4.6,4.6/10,91,,high,true,"골프장명·주소(시/군/구) 일치, phone/homepage/price 후보 수집; homepage ambiguous; naver reservation price not found; difficulty: 4.6/10; naver reservation price not found — price fields left empty",https://search.naver.com/search.naver?where=nexearch&query=%EB%82%A8%EC%84%9C%EC%9A%B8%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,2026-06-19T07:40:35.061Z
