id,name,address,candidate_title,candidate_address,candidate_phone,candidate_homepage_url,candidate_price_text,candidate_price_min,candidate_price_max,candidate_price_type,candidate_difficulty,candidate_difficulty_text,candidate_avg_score,candidate_reservation_prices_text,source_url,confidence,approve_phone,approve_homepage,approve_price,approve_difficulty,approve_avg_score,review_phone,review_homepage_url,review_price_min,review_price_max,review_price_type,review_difficulty,review_avg_score,review_note,review_status,phone_status,homepage_status,price_status,difficulty_status,avg_score_status,reviewed_at,reviewer_note
gc-fa1419df8b1e,남춘천컨트리클럽,춘천시 신동면 오봉길 156,남춘천CC,강원 춘천시 신동면 오봉길 156,033-269-3000,http://www.namchuncheon.co.kr/,,,,unknown,9.3,9.3/10,94,,https://search.naver.com/search.naver?where=nexearch&query=%EB%82%A8%EC%B6%98%EC%B2%9C%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,high,,,,,,,,,,,,,,pending,pending,pending,pending,pending,pending,,
gc-56c3be8c5a61,더플레이어스 골프클럽,춘천시 동산면 새술막길 438,CLUBD - 클럽디 더플레이어스,"더플레이어스골프클럽 실내골프연습장. 주소: 강원도 춘천시 동산면 새술막길 438, 전화: 033-250-5000. 강원도 춘천시 위치, 지도 및 편의시설 정보를 확인하세요.",033-250-5000,https://www.clubd.com/theplayers/index.do,,,,unknown,,,,,https://search.naver.com/search.naver?where=nexearch&query=%EB%8D%94%ED%94%8C%EB%A0%88%EC%9D%B4%EC%96%B4%EC%8A%A4%20%EA%B3%A8%ED%94%84%ED%81%B4%EB%9F%BD,high,,,,,,,,,,,,,,pending,pending,pending,pending,pending,pending,,
gc-908385d35939,동강시스타 골프장,영월군 영월읍 사지막길 160,동강시스타CC,강원 영월군 영월읍 삼옥리 산135,033-905-2030,http://www.cistar.co.kr/,"네이버 예약: 80,000원; 150,000원; 160,000원",80000,160000,reservation_price,8.6,8.6/10,94,"네이버 예약: 80,000원; 150,000원; 160,000원",https://search.naver.com/search.naver?where=nexearch&query=%EB%8F%99%EA%B0%95%EC%8B%9C%EC%8A%A4%ED%83%80%20%EA%B3%A8%ED%94%84%EC%9E%A5,high,,,,,,,,,,,,,,pending,pending,pending,pending,pending,pending,,
gc-3eb069c5fb2a,동서울레스피아,원주시 지정면 신평석화로 236,동서울레스피아,(우) 26358 강원도 원주시 신평석화로 236,031-595-5168,http://www.respia.com,,,,unknown,,,,,https://search.naver.com/search.naver?where=nexearch&query=%EB%8F%99%EC%84%9C%EC%9A%B8%EB%A0%88%EC%8A%A4%ED%94%BC%EC%95%84,high,,,,,,,,,,,,,,pending,pending,pending,pending,pending,pending,,
gc-e494f9e1ff69,동원썬밸리컨트리클럽,횡성군 서원면 서원서로339번길 90,동원썬밸리CC,강원 횡성군 서원면 서원서로339번길 90 동원썬밸리CC,033-344-5308,https://www.sunvalley.co.kr/dongwon/golf/intro,,,,unknown,5.3,5.3/10,92,,https://search.naver.com/search.naver?where=nexearch&query=%EB%8F%99%EC%9B%90%EC%8D%AC%EB%B0%B8%EB%A6%AC%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,high,,,,,,,,,,,,,,pending,pending,pending,pending,pending,pending,,
gc-18f9f355721d,라데나골프클럽,춘천시 신동면 칠전동길 72,라데나 골프클럽,강원 춘천시 신동면 칠전동길 72 라데나클럽,033-260-1114,https://www.ladena.co.kr,"네이버 예약: 250,000원; 270,000원",250000,270000,reservation_price,6.4,6.4/10,92,"네이버 예약: 250,000원; 270,000원",https://search.naver.com/search.naver?where=nexearch&query=%EB%9D%BC%EB%8D%B0%EB%82%98%EA%B3%A8%ED%94%84%ED%81%B4%EB%9F%BD,high,,,,,,,,,,,,,,,,,,,,,
gc-a78a36b9d428,라비에벨컨트리클럽,춘천시 동산면 종자리로 436,라비에벨CC,강원 춘천시 동산면 종자리로 436 라비에벨 골프&리조트,033-245-7000,https://lavieestbellegolfnresort.com/default.asp,,,,unknown,,,18,,https://search.naver.com/search.naver?where=nexearch&query=%EB%9D%BC%EB%B9%84%EC%97%90%EB%B2%A8%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,high,,,,,,,,,,,,,,pending,pending,pending,pending,pending,pending,,
gc-6b8298356e4e,로드힐스골프클럽,춘천시 동산면 종자리로 148-16,로드힐스 골프 & 리조트,강원 춘천시 동산면 종자리로 136 로드힐스 골프&리조트,033-269-8888,https://lordhills.co.kr,,,,unknown,7.8,7.8/10,93,,https://search.naver.com/search.naver?where=nexearch&query=%EB%A1%9C%EB%93%9C%ED%9E%90%EC%8A%A4%EA%B3%A8%ED%94%84%ED%81%B4%EB%9F%BD,high,,,,,,,,,,,,,,pending,pending,pending,pending,pending,pending,,
gc-b768a2002431,메이플비치골프&리조트,강릉시 강동면 풍호길 300-78,메이플비치골프&리조트,,033-650-0020,,,,,unknown,,,,,https://search.naver.com/search.naver?where=nexearch&query=%EB%A9%94%EC%9D%B4%ED%94%8C%EB%B9%84%EC%B9%98%EA%B3%A8%ED%94%84%26%EB%A6%AC%EC%A1%B0%ED%8A%B8,medium,,,,,,,,,,,,,,pending,pending,pending,pending,pending,pending,,
gc-d7a401a860d3,베어크리크 춘천,춘천시 신동면 김유정로 730,베어크리크 춘천,강원 춘천시 신동면 김유정로 730 베어크리크 춘천,1899-0115,https://www.bearcreek.co.kr/,,,,unknown,,,,,https://search.naver.com/search.naver?where=nexearch&query=%EB%B2%A0%EC%96%B4%ED%81%AC%EB%A6%AC%ED%81%AC%20%EC%B6%98%EC%B2%9C,high,,,,,,,,,,,,,,pending,pending,pending,pending,pending,pending,,
